,person_id,name,first_name,gender
407,51912992,dr. bernd gliwa,bernd,M
408,201130188,professor dr. nikolai roskamm,nikolai,M
409,259310,professor dr. rolf bauerfeind,rolf,M
410,163371602,dr. kais hussein,kais,M
411,1848959,dr. günter manzke,günter,
412,1256841,professor dr. franz-xaver schmid,franz-xaver,
413,379155356,professorin dr. manuela bojadzijev,manuela,F
414,174589285,professor dr. henning urlaub,henning,M
415,1191717,professor dr. ralph mocikat,ralph,M
416,988753,dr.-ing. harald anlauf,harald,M
417,1795596,dr. birgit heltweg,birgit,F
418,277997087,professorin dr. yvonne zimmermann,yvonne,F
419,22668394,dr. adam gondos,adam,M
420,1658040,professor dr.-ing. jürgen schmidt,jürgen,
421,43229202,dr. martina schiebel,martina,F
422,215803041,professor dr. ludwig stecher,ludwig,M
423,1759670,professor dr.-ing. uwe dombrowski,uwe,M
424,1891027,professor dr. hannes flühler,hannes,M
425,1727815,professor dr. matthew w. crocker,w.,
426,1062853,professor dr. paul galland,paul,M
427,1259497,professorin dr. sabine schmidtke,sabine,F
428,241897844,dr. johanna pretsch,johanna,F
429,326511713,dr. vladimir lesnyak,vladimir,M
430,1574696,dr.-ing. tassilo moritz,tassilo,M
431,1149075,professor dr. jürgen krause,jürgen,
432,84763875,dr.-ing. jens kotlarski,jens,M
433,1787373,professor dr.-ing. walter kellermann,walter,M
434,233905593,dr. hella ellen ahrends,ellen,F
435,1964650,dr. frantisek mraz,frantisek,M
436,128921434,professor dr. leopoldo garcia sancho,garcia,M
437,194096176,dr. jan hänisch,jan,M
438,1074272,professor dr. klaus grubmüller,klaus,M
439,71267962,professorin dr. sabine arndt-lappe,sabine,F
440,1511457,professor dr. thomas leims,thomas,M
441,1824577,privatdozentin dr. susanne dihlmann,susanne,F
442,290396160,dr. robert m. reeve,m.,
443,1573201,professor dr. armin gerbitz,armin,M
444,1792674,dr. klaus ricklefs,klaus,M
445,1780923,professor dr.-ing. michael beer,michael,M
446,1790671,"professor dr. markus münzenberg, ph.d.","münzenberg,",
447,258174,professor dr. friedbert prüfer,friedbert,M
448,1177218,professor dr. ulrich marzolph,ulrich,M
449,1394751,dr.-ing. bertram nickolay,bertram,M
450,1592408,professorin dr. daniela jacob,daniela,F
451,1956562,professor dr. ivo hofacker,ivo,M
452,31130143,dr. maren walter,maren,F
453,1433499,professor dr. martin middendorf,martin,M
454,1709748,"professorin dr. gesine kögler, ph.d.","kögler,",
455,1431943,dr. wolfgang helmut ziegler,helmut,M
456,1629859,dr. corinna wülbeck,corinna,F
457,1068241,professor dr. sandro ghisla,sandro,M
458,1109508,professor dr. werner hosemann,werner,M
459,327415334,dr. rikkert frederix,rikkert,
460,1460578,professorin dr. hrissanthi ikonomidou,hrissanthi,
461,1031191,professorin dr. renate deinzer,renate,F
462,1120180,professor dr. egon jehle,egon,M
463,313084529,dr. johannes starlinger,johannes,M
464,1711269,professorin dr. almut arneth,almut,F
465,1346436,professor dr. hans-wolfram neumann,hans-wolfram,
466,1703544,huber,,F
467,1709381,professor dr.-ing. georgios tsatsaronis,georgios,M
468,1344222,professor dr. bernhard westermann,bernhard,M
469,1757661,dr. stefan turner,stefan,M
470,1178448,professor dr. jürgen margraf,jürgen,
471,1859169,privatdozent dr. lars umlauf,lars,M
472,1702248,professor dr. mathias büttner,mathias,M
473,1362610,professorin dr. marion wienecke,marion,F
474,194409566,dr. benedikt andreas poser,andreas,M
475,1164985,professor dr. martin lerch,martin,M
476,1845610,professor dr. peter kühn,peter,M
477,970041,dr. alexei nefedov,alexei,M
478,1229859,professor dr. joachim reitner,joachim,M
479,260644,dr. arthur brande,arthur,M
480,261375,dr. detlef bentrop,detlef,M
481,189258640,dr. katja lammens,katja,F
482,820443,privatdozent dr. walter bruchhausen,walter,M
483,183527343,"dr. yonggang zhou, ph.d. (†)",ph.d.,
484,203589598,dr. mathias franz,mathias,M
485,387809236,dr. nadine müller-calleja,nadine,F
486,1596215,professor dr. richard berndt,richard,M
487,1562884,professor dr. ulrich schweiger,ulrich,M
488,1110390,professor dr. klaus hock,klaus,M
489,1365380,dr. michael boschmann,michael,M
490,1348398,professorin dr. nina kukowski,nina,F
491,1253051,professorin dr. britta schinzel,britta,F
492,215119999,dr. bernhard aichner,bernhard,M
493,1604412,professor dr. martin abraham,martin,M
494,62277166,privatdozentin dr. kamila jauch-chara,kamila,F
495,1471693,privatdozent dr. peter boknik,peter,M
496,299368990,professor dr. johannes kirchmair,johannes,M
497,376121,professor dr. rüdiger wanke,rüdiger,
498,1734180,professor dr. mitchell g. ash,g.,
499,1399627,professor dr. hans-peter seidel,hans-peter,
500,2038952,professor dr. vincent hoffmann-martinot,vincent,M
501,316225624,"professor aldo pratelli, ph.d.","pratelli,",
502,1734709,professor dr. thomas borsch,thomas,M
